[2024-03-29 22:16:01.348] [global] [info] [cache.cc:972] [on-demand] [git-diff-check:lint:Lab10-1\Data\train\train\cat.1106.jpg:HEAD] not cacheable, running linter
[2024-03-29 22:16:01.351] [global] [info] [cache.cc:972] [on-demand] [git-diff-check:lint:Lab10-1\Data\train\train\cat.11100.jpg:HEAD] not cacheable, running linter
[2024-03-29 22:16:01.349] [global] [info] [runner.cc:102] Writing git-diff-check predecessor error to C:\Users\Admin\Documents\MLAI\CSCN8010-labs\.trunk\out\tSrLz.yaml
[2024-03-29 22:16:01.352] [global] [info] [cache.cc:972] [on-demand] [git-diff-check:lint:Lab10-1\Data\train\train\cat.11060.jpg:HEAD] not cacheable, running linter
[2024-03-29 22:16:01.352] [global] [info] [cache.cc:972] [on-demand] [git-diff-check:lint:Lab10-1\Data\train\train\cat.11101.jpg:HEAD] not cacheable, running linter
[2024-03-29 22:16:01.352] [global] [info] [cache.cc:972] [on-demand] [git-diff-check:lint:Lab10-1\Data\train\train\cat.11061.jpg:HEAD] not cacheable, running linter
[2024-03-29 22:16:01.352] [global] [info] [cache.cc:972] [on-demand] [git-diff-check:lint:Lab10-1\Data\train\train\cat.11102.jpg:HEAD] not cacheable, running linter
[2024-03-29 22:16:01.352] [global] [info] [cache.cc:972] [on-demand] [git-diff-check:lint:Lab10-1\Data\train\train\cat.11062.jpg:HEAD] not cacheable, running linter
[2024-03-29 22:16:01.352] [global] [info] [cache.cc:972] [on-demand] [git-diff-check:lint:Lab10-1\Data\train\train\cat.11103.jpg:HEAD] not cacheable, running linter
[2024-03-29 22:16:01.352] [global] [info] [cache.cc:972] [on-demand] [git-diff-check:lint:Lab10-1\Data\train\train\cat.11063.jpg:HEAD] not cacheable, running linter
[2024-03-29 22:16:01.352] [global] [info] [cache.cc:972] [on-demand] [git-diff-check:lint:Lab10-1\Data\train\train\cat.11104.jpg:HEAD] not cacheable, running linter
[2024-03-29 22:16:01.352] [global] [info] [cache.cc:972] [on-demand] [git-diff-check:lint:Lab10-1\Data\train\train\cat.11064.jpg:HEAD] not cacheable, running linter
[2024-03-29 22:16:01.352] [global] [info] [cache.cc:972] [on-demand] [git-diff-check:lint:Lab10-1\Data\train\train\cat.11105.jpg:HEAD] not cacheable, running linter
[2024-03-29 22:16:01.352] [global] [info] [cache.cc:972] [on-demand] [git-diff-check:lint:Lab10-1\Data\train\train\cat.11065.jpg:HEAD] not cacheable, running linter
[2024-03-29 22:16:01.352] [global] [info] [cache.cc:972] [on-demand] [git-diff-check:lint:Lab10-1\Data\train\train\cat.11106.jpg:HEAD] not cacheable, running linter
